"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.4790094156913e-66,0.952611906156413,0.519,0.113,1.58424738232484e-61,"17","CAMK1D"
6.89978246608807e-66,1.55912455950113,0.28,0.042,1.68713480860785e-61,"17","ATP13A3"
1.15007276524549e-65,1.48915189564797,0.322,0.053,2.81215792557828e-61,"17","TPRA1"
1.18443617644969e-65,1.34042878083039,0.808,0.265,2.89618333865478e-61,"17","RNH1"
1.24603679887175e-65,1.25148636529289,0.285,0.043,3.0468091806012e-61,"17","MSRA"
1.25325417536489e-65,1.31811135896988,0.561,0.133,3.06445710960224e-61,"17","MALT1"
1.32178491675843e-65,1.14320735996381,0.318,0.052,3.23202847845771e-61,"17","NAPRT"
1.56788610589248e-65,1.28668673856585,0.326,0.054,3.83379510612828e-61,"17","HOTAIRM1"
1.59938593898408e-65,1.21847293036028,0.674,0.182,3.91081849800387e-61,"17","PABPC4"
1.71059097284138e-65,1.47415280497482,0.276,0.041,4.18273704679175e-61,"17","BCKDK"
5.76476222556343e-65,1.06576789585985,0.381,0.071,1.40959965939477e-60,"17","LDLRAD4"
9.61293888315258e-65,1.6395420853624,0.82,0.306,2.35055581570847e-60,"17","ANXA2"
1.29323825011591e-64,1.0010556907858,0.36,0.064,3.16222616918343e-60,"17","NIPSNAP2"
1.49987549226632e-64,2.1376475997013,0.874,0.338,3.6674955536896e-60,"17","SNX3"
1.63313542000493e-64,0.949019166262492,0.402,0.077,3.99334272899606e-60,"17","NSMAF"
3.24496998438979e-64,1.60241529506759,0.326,0.056,7.93460060582991e-60,"17","FAM210A"
3.29720017977999e-64,2.15711060799477,0.749,0.298,8.06231387959803e-60,"17","INSIG1"
3.54722786061075e-64,1.39168553326868,0.251,0.035,8.67368156476541e-60,"17","ITGA5"
3.65328911110372e-64,1.43851661955906,0.364,0.067,8.9330225344708e-60,"17","NME4"
5.0075253167366e-64,1.40743524368472,0.285,0.044,1.22444009044843e-59,"17","GNPDA1"
6.15125828255258e-64,1.22103573424361,0.582,0.142,1.50410567524976e-59,"17","FAM96A"
7.75523530171472e-64,1.41111659923265,0.393,0.076,1.89631013597528e-59,"17","SPATS2L"
1.15612624837497e-63,1.33214448321405,0.87,0.311,2.82695990252647e-59,"17","SYNGR2"
2.0730929734456e-63,1.84138608725524,0.749,0.3,5.06912693866918e-59,"17","CDKN1A"
8.98636200159083e-63,1.08277408516709,0.561,0.134,2.19734523662899e-58,"17","SPG21"
1.90874323788914e-62,1.2362301573096,0.331,0.057,4.66725896528652e-58,"17","MIR22HG"
2.07278898880586e-62,1.16142389740083,0.259,0.038,5.06838363542808e-58,"17","SSFA2"
2.20300524889961e-62,1.05485412341041,0.389,0.075,5.38678843460933e-58,"17","RIPK2"
2.94231796547529e-62,0.784031548560871,0.502,0.111,7.19455588918018e-58,"17","ZNF106"
4.39942653859908e-62,1.33644145571897,0.36,0.067,1.07574777721825e-57,"17","MCUR1"
5.72042184482178e-62,1.47096953681487,0.251,0.036,1.39875754949582e-57,"17","WDR41"
7.16942645942506e-62,1.33481223712484,0.908,0.38,1.75306815785862e-57,"17","RAC1"
1.62666572524462e-61,1.20901864822289,0.264,0.039,3.97752303136814e-57,"17","SERPINB8"
1.93815627746516e-61,1.17401977982251,0.264,0.039,4.73917972965782e-57,"17","BICD2"
3.66391815114723e-61,2.03818500047715,0.87,0.402,8.95901266318521e-57,"17","NEAT1"
4.81813595743088e-61,1.03104883400362,0.293,0.047,1.178130604311e-56,"17","CCDC6"
1.1320467245865e-60,1.23932669736559,0.264,0.04,2.7680806509589e-56,"17","APOBR"
1.15426277894327e-60,1.34696492464571,0.268,0.041,2.82240334707209e-56,"17","ARHGAP31"
1.16412635641907e-60,0.833850747177894,0.644,0.166,2.8465217667159e-56,"17","NDUFB5"
1.31528426273649e-60,1.25977249233029,0.36,0.068,3.21613307924325e-56,"17","TRMT6"
2.1262723125247e-60,2.69505394500066,0.987,0.914,5.19916105858541e-56,"17","FTL"
3.23589986477891e-60,1.05394416305639,0.255,0.038,7.91242234935739e-56,"17","SRGAP2"
5.02912608331098e-60,1.06463642112477,0.414,0.085,1.2297219098912e-55,"17","UNC119"
5.06531037758207e-60,0.967859557650839,0.31,0.053,1.23856969352637e-55,"17","GALK1"
8.44498193546795e-60,0.814904883311019,0.264,0.04,2.06496698286062e-55,"17","APP"
9.94424007438727e-60,1.51034901639199,0.766,0.275,2.43156558298918e-55,"17","NAMPT"
1.33486121176678e-59,0.953989368333184,0.548,0.133,3.26400263501213e-55,"17","BLOC1S6"
5.45758464522229e-59,1.08084806920859,0.502,0.119,1.33448859744975e-54,"17","BACH1"
5.52436367385164e-59,0.921167451177886,0.326,0.058,1.3508174055302e-54,"17","CTNNBIP1"
7.83918083095318e-59,1.26907309035535,0.318,0.056,1.91683649678467e-54,"17","SCPEP1"
1.80976287798828e-58,1.20469132726854,0.28,0.045,4.42523218925693e-54,"17","TCEAL4"
1.90032880893824e-58,0.949194546239946,0.347,0.065,4.64668400361577e-54,"17","RELT"
2.18808322426067e-58,1.13813394076817,0.456,0.102,5.35030109996219e-54,"17","SH3BP5"
2.19771142255014e-58,0.951248115291358,0.594,0.153,5.37384397041959e-54,"17","PTMS"
3.16738068371368e-58,1.37339179657712,0.305,0.053,7.7448792478167e-54,"17","AMPD2"
4.16093324102198e-58,1.12906976347863,0.393,0.081,1.01743139609469e-53,"17","MXD1"
5.98971846369992e-58,0.713379496014055,0.481,0.108,1.4646059587439e-53,"17","TNFRSF1A"
6.09219470735832e-58,1.02061523356698,0.636,0.186,1.48966344984326e-53,"17","BCL2A1"
7.9843426119967e-58,1.08950945147709,0.975,0.75,1.95233145548543e-53,"17","YBX1"
8.26400484256561e-58,1.1578303911825,0.519,0.126,2.02071446410414e-53,"17","ATP6V1B2"
8.63519527042516e-58,1.25532578508215,0.385,0.078,2.11147794752436e-53,"17","ABHD12"
1.09158552709039e-57,1.64869547212704,0.314,0.057,2.66914493084141e-53,"17","BAG3"
2.22905819108821e-57,0.870133911626006,0.356,0.068,5.45049308884889e-53,"17","RAPGEF1"
3.11835501159824e-57,1.29359920936028,0.335,0.063,7.62500167436002e-53,"17","CCRL2"
6.02615066069982e-57,1.14484511357305,0.314,0.056,1.47351435955432e-52,"17","WDFY2"
6.62207478033322e-57,0.935962569199584,0.31,0.055,1.61922972528708e-52,"17","SMIM20"
8.16213063663763e-57,1.07869136372104,0.368,0.073,1.99580418327063e-52,"17","TRMT1"
1.320341005251e-56,0.960875315208619,0.448,0.1,3.22849782603975e-52,"17","EPN1"
1.36588102404653e-56,1.12482864175258,0.77,0.245,3.33985227999857e-52,"17","RTN4"
1.46652298783391e-56,1.20817194081284,1,0.964,3.58594200985149e-52,"17","FTH1"
2.11314836875203e-56,1.00498107098467,0.289,0.049,5.16707039127245e-52,"17","RALB"
2.73258894951373e-56,1.49104115257009,0.255,0.04,6.68172649935096e-52,"17","SETDB2"
3.65213713404954e-56,0.976784221311195,0.724,0.213,8.93020572017794e-52,"17","TKT"
5.08672160444617e-56,1.11224673878767,0.339,0.065,1.24380516671918e-51,"17","TOR3A"
1.78873951804885e-55,0.825946659315831,0.289,0.049,4.37382586953305e-51,"17","PPP1R14B"
3.47397907348495e-55,1.22180283933242,0.879,0.336,8.4945736304854e-51,"17","GDI2"
9.91302410102846e-55,1.27574275021604,0.276,0.047,2.42393265318348e-50,"17","OAS1"
1.86804700106003e-54,1.41354520151253,0.289,0.051,4.567748526992e-50,"17","LYRM4"
1.90501090007896e-54,1.2187537926359,0.72,0.247,4.65813265287306e-50,"17","NR4A1"
2.36122054379218e-54,1.03695072696669,0.297,0.053,5.77365647368063e-50,"17","HSD17B4"
1.21314716274091e-53,0.790618171486364,0.418,0.092,2.96638744233407e-49,"17","NDUFS4"
2.3113805991452e-53,1.13722882488098,0.753,0.25,5.65178784102985e-49,"17","ATP6V0D1"
3.46888102419431e-53,1.33202056329256,0.305,0.057,8.48210788035992e-49,"17","NRIP1"
3.95765353954829e-53,1.23088350314947,0.845,0.317,9.67725443490349e-49,"17","CMTM6"
4.34023565448588e-53,0.769614792614048,0.423,0.094,1.06127442223489e-48,"17","NUDT3"
4.39521065050091e-53,0.938998218223609,0.259,0.043,1.07471690826048e-48,"17","ZNF672"
1.47964740918614e-52,1.23793527105552,0.289,0.052,3.61803384494196e-48,"17","ACSL1"
2.11413368502002e-52,1.3759775731428,0.347,0.072,5.16947968661096e-48,"17","ATP2B1-AS1"
7.28663606103431e-52,1.06961340191638,0.866,0.325,1.78172824964411e-47,"17","ATP6V0B"
7.77430782309389e-52,0.88261074096455,0.326,0.064,1.90097374890292e-47,"17","SGK3"
8.96207852179426e-52,0.982313725799678,0.276,0.048,2.19140744014913e-47,"17","EHBP1L1"
9.81422780324048e-52,0.889750450841557,0.745,0.232,2.39977498244836e-47,"17","TMEM123"
1.4064586666427e-51,0.878799603002683,0.289,0.052,3.43907273167472e-47,"17","DERA"
1.62666430707477e-51,1.61910748039616,0.276,0.05,3.97751956365924e-47,"17","SCARB2"
1.87294083263683e-51,0.66061979327802,0.448,0.105,4.57971492396358e-47,"17","DNPH1"
2.81701726760017e-51,0.798707140489229,0.464,0.113,6.88817062273595e-47,"17","NBPF26"
9.40702917081207e-51,1.1549114509783,0.439,0.106,2.30020677284697e-46,"17","GPR137B"
1.867082108129e-50,0.831243050582217,0.389,0.086,4.56538917079704e-46,"17","STX12"
2.13879045521571e-50,0.824628377429486,0.452,0.108,5.22977042109344e-46,"17","DENND1B"
2.57080096937045e-50,0.662015822635132,0.339,0.069,6.28612253030462e-46,"17","FCHSD2"
3.33953783619487e-50,1.34333016031127,0.268,0.047,8.1658379170637e-46,"17","INPP1"
6.26584569386008e-50,1.08419937640015,0.64,0.194,1.53212458906267e-45,"17","YWHAH"
6.7735268996785e-50,1.11270237474329,0.515,0.139,1.65626279750939e-45,"17","ICAM1"
7.79725062249142e-50,1.28869158959859,0.649,0.216,1.9065837222116e-45,"17","STX11"
7.93770916019234e-50,0.723631873521799,0.452,0.109,1.94092864385023e-45,"17","DUSP23"
1.16944935751007e-49,1.28584357333045,0.958,0.576,2.85953756898363e-45,"17","GSTP1"
1.38005756860366e-49,0.76406588054871,0.322,0.064,3.37451676674967e-45,"17","AFF1"
1.66593185395702e-49,0.693311548445634,0.665,0.192,4.07353656929571e-45,"17","ALKBH7"
2.89835533519277e-49,0.922967015033701,0.64,0.186,7.08705846561337e-45,"17","NCOA4"
3.09636350136076e-49,0.981058972598474,0.301,0.058,7.57122803352733e-45,"17","TICAM1"
3.38173988192652e-49,0.810032847573986,0.385,0.086,8.26903035928674e-45,"17","PPA2"
3.67012887192818e-49,1.04517602820338,0.54,0.149,8.97419911763878e-45,"17","ZNF267"
5.67351029706582e-49,1.0934228709931,0.297,0.057,1.38728673783853e-44,"17","SNRNP25"
6.4361371757507e-49,0.771605801715112,0.331,0.067,1.57376426221456e-44,"17","ANXA4"
6.46806317573334e-49,1.04299988037625,0.318,0.064,1.58157080773032e-44,"17","BLVRA"
9.57517702857796e-49,1.1195743450152,0.582,0.171,2.34132228702788e-44,"17","TUBA1C"
1.67383933590981e-48,0.578601139257484,0.657,0.187,4.09287194416666e-44,"17","KDELR1"
1.71375316410168e-48,0.774221593789439,0.347,0.073,4.19046923686143e-44,"17","CYTH4"
2.42752722415857e-48,0.488463230196606,0.536,0.139,5.93578956851255e-44,"17","FLOT1"
2.89771553841127e-48,1.59117617971315,0.464,0.123,7.08549403452323e-44,"17","PLD3"
3.62378329830042e-48,0.856016931831033,0.987,0.969,8.86087492100419e-44,"17","TMSB10"
3.90513765573255e-48,0.698133262960789,0.272,0.049,9.54884259579724e-44,"17","MED13L"
4.37626068012183e-48,1.09711678225089,0.916,0.441,1.07008326150339e-43,"17","GNG5"
5.45498267420245e-48,0.539236210575299,0.364,0.079,1.33385236349598e-43,"17","MKKS"
5.67737496442374e-48,0.825639817913048,0.485,0.124,1.38823172630089e-43,"17","PTTG1IP"
5.90362535147402e-48,0.675730009528567,0.527,0.14,1.44355447094243e-43,"17","ARF3"
6.57982995485136e-48,0.932342660647464,0.347,0.074,1.60890002056026e-43,"17","NOTCH2"
7.08751906940776e-48,0.747467326944748,0.427,0.102,1.73304016285159e-43,"17","QARS"
7.84793847118061e-48,0.846126102140355,0.368,0.082,1.91897791497308e-43,"17","LEPROT"
9.26342828338635e-48,1.22479897396483,0.351,0.077,2.26509348385363e-43,"17","AVPI1"
1.31919412036987e-47,1.19299287233396,0.707,0.237,3.2256934631284e-43,"17","JMJD1C"
1.56699759125911e-47,0.480123313717719,0.464,0.115,3.83162251014677e-43,"17","RCOR1"
1.64239071451742e-47,0.777162729908202,0.335,0.07,4.01597377513799e-43,"17","SH3BP2"
1.77017675442593e-47,0.623893330984283,0.573,0.158,4.32843619992228e-43,"17","IGFLR1"
1.83383960721506e-47,0.834203470808131,0.343,0.073,4.48410460756228e-43,"17","LINC02256"
1.87138823844997e-47,1.06568148818905,0.757,0.289,4.57591852065786e-43,"17","HSPA1A"
