Rank,Gene
884,LINC00426
885,PCED1B
886,TNFSF10
887,SERF2
888,CYBA
889,BRI3
890,ZNF266
891,AP1S2
892,CFL1
893,TXLNG
894,LAT
895,SVIP
896,FBXO25
897,DXO
898,PPIA
899,GPSM3
900,STAG3
901,GMFG
902,FKBP11
903,AC027290.1
904,GSTK1
905,ATP5ME
906,LIPA
907,CCDC107
908,EIF3F
909,NMT2
910,MEF2D
911,TSTD1
912,DGKA
913,SSR2
914,RNASEK
915,FES
916,PRH1
917,ZYX
918,VRK3
919,PLSCR1
920,ANXA6
921,NCOA6
922,ABCB1
923,ICAM3
924,UTP15
925,PLSCR3
926,ZMYM2
927,SUPT3H
928,STXBP2
929,MPZL3
930,STARD7
931,PPM1K
932,OXNAD1
933,CDC42EP3
934,SMARCA5
935,SDC4
936,PTPN7
937,SRRM2
938,NR1D2
939,JMJD6
940,MACF1
941,MPPE1
942,RBM3
943,ENO1
944,YPEL3
945,LIMS1
946,HNRNPA3
947,TCP1
948,KLF13
949,TRMT112
950,STK4
951,AGTRAP
952,RFTN1
953,LINC01550
954,RNPEPL1
955,TAPBP
956,TUT4
957,OCIAD2
958,RBM39
959,ZNF398
960,PMS1
961,STK39
962,WSB1
963,CDV3
964,HLA-E
965,METTL21A
966,ATP5F1D
967,ENOX2
968,APLP2
969,PLEKHO1
970,AP002387.2
971,ASF1A
972,ZMYND11
973,CYP2R1
974,NUP153
975,CKAP2
976,UPP1
977,MFSD11
978,LINC00649
979,RBBP6
980,UQCR10
981,PPP1R18
982,MXD1
983,CHPT1
984,GNPTAB
985,NDUFA4
986,CNBP
987,FAM192A
988,MZT2B
989,ZNF260
990,ZBTB1
991,NFAT5
992,AC144652.1
993,ASL
994,SLC7A1
995,SCO2
996,ANAPC16
997,CREBRF
998,TBC1D10C
999,AL138963.3
1000,PPP1CA
1001,POLR2J3
1002,UBASH3A
1003,MAP3K1
1004,LRRC47
1005,APBA2
1006,COIL
1007,BRAF
1008,EIF3E
1009,CDC42
1010,NDUFB11
1011,FRAT2
1012,AL390728.5
1013,PARK7
1014,SLC43A2
1015,TMEM62
1016,NCOA7
1017,SEPT6
1018,ZNF267
1019,PTPN4
1020,SNX27
1021,B4GALT1
1022,JMJD1C
1023,PARP15
1024,ATF7IP2
1025,PPP1R2
1026,TSEN54
1027,PSTPIP2
1028,RFT1
1029,SEC61G
1030,SPN
1031,LINC01934
1032,CKS2
1033,EEF2K
1034,NSUN6
1035,C5orf24
1036,FBXO34
1037,SNAI3
1038,AC135457.1
1039,NCALD
1040,WASHC1
1041,LNPEP
1042,ADD3
1043,MAML2
1044,B4GALT7
1045,HNRNPUL2
1046,EIF4A1
1047,BRIX1
1048,CLSPN
1049,SMPD2
1050,BAP1
1051,PTGES3
1052,CHD3
1053,CAP1
1054,MLLT6
1055,GRINA
1056,AHR
1057,PRDX1
1058,CDC40
1059,FBXO30
1060,CEP350
1061,PLEKHA2
1062,PHIP
1063,ELL2
1064,EIF4A2
1065,PEBP1
1066,PIGL
1067,SIPA1L1
1068,PELI1
1069,ING5
1070,ZNF84
1071,LINC00623
1072,KMT2E-AS1
1073,HIST1H4J
1074,APOL6
1075,DNAAF2
1076,TARSL2
1077,SH2B1
1078,SYK
1079,LRMP
1080,GGA2
1081,MOAP1
1082,CDC42SE1
1083,FBXO5
1084,RASGRP2
1085,SLF1
1086,TMEM123
1087,IRS2
1088,MOB1B
1089,PGRMC1
1090,IPCEF1
1091,SFSWAP
1092,NIN
1093,BRD8
1094,JADE2
1095,ARF6
1096,VPS13C
1097,ZNF296
1098,PACS1
1099,EIF3B
1100,AKAP9
1101,RASA3
1102,GBP4
1103,ABCG1
1104,PDP1
1105,SLC1A5
1106,FAM129A
1107,ZNF91
1108,PTMA
1109,HLA-A
1110,EIF1
1111,LYPLA2
1112,EVI2A
1113,YIPF5
1114,RBM33
1115,IGFLR1
1116,CALCOCO2
1117,GARS
1118,CCNDBP1
1119,DNAJC17
1120,SSR3
1121,RRAGA
1122,TCEA1
