p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Marker_Rank
3.670958898864624e-102,1.3801627954628768,0.912,0.507,6.947289716101301e-98,13,PRF1,13
1.5124732143593118e-99,1.2371809366007145,0.933,0.563,2.8623555581749973e-95,13,CTSW,14
2.968930576254812e-96,2.6799882037022504,0.407,0.077,5.6187011155622334e-92,13,ADGRG1,15
1.1487047372719147e-93,2.051446717375461,0.663,0.228,2.1739237152870984e-89,13,PLEK,16
1.998476605720192e-93,0.8846019925613691,0.986,0.784,3.7821169763254636e-89,13,IFITM2,17
2.830040842492868e-86,2.0721904772494097,0.621,0.204,5.355852294417751e-82,13,CLIC3,18
5.186120418700149e-83,1.5563724627218494,0.793,0.372,9.814732892390032e-79,13,GZMH,19
3.5134608635590464e-78,1.3119297946879112,0.832,0.48,6.6492246842854945e-74,13,CD247,20
5.3792662265737846e-76,2.6440510430692674,0.375,0.082,1.0180261333790889e-71,13,TTC38,21
2.6888508486196342e-74,1.4833118364676068,0.768,0.41,5.0886502310126577e-70,13,EFHD2,22
1.0341126547667756e-73,1.9914944947505793,0.554,0.174,1.9570581991461232e-69,13,FCER1G,23
2.035003460606805e-73,1.4561989669629989,0.775,0.355,3.8512440491983784e-69,13,KLRD1,24
1.2334501745450626e-72,0.606294612751209,0.993,0.882,2.3343044553265303e-68,13,IFITM1,25
3.9300744628973755e-72,2.451830667166682,0.404,0.098,7.437665921033283e-68,13,TRDC,26
2.8115788403189265e-69,1.455906310891346,0.765,0.364,5.3209129553035684e-65,13,GIMAP7,27
7.042306138215414e-69,1.8410242706107995,0.611,0.234,1.3327564366572673e-64,13,PLAC8,28
1.0970224491060039e-68,0.42291493472018793,1,0.97,2.0761149849331132e-64,13,TMSB10,29
8.744487193027912e-68,0.40535234566096134,0.993,0.968,1.6548942012805325e-63,13,PFN1,30
1.7955844150863694e-66,1.662309887506819,0.667,0.292,3.398143505550954e-62,13,HOPX,31
1.6973339762708999e-65,0.7768434844158478,0.958,0.718,3.2122045500926786e-61,13,GZMA,32
4.233484136532789e-61,0.6551958546336745,0.989,0.798,8.011868728388303e-57,13,CST7,33
1.0169336194505531e-60,0.6028123194843977,0.965,0.858,1.9245468748101716e-56,13,MYL12A,34
2.371530287472427e-60,1.816799577600135,0.523,0.175,4.488121069041569e-56,13,KLRF1,35
9.051578674933869e-60,0.5481879055935877,0.975,0.891,1.7130112642312344e-55,13,SH3BGRL3,36
4.728919446727344e-57,0.9723446095449662,0.856,0.582,8.949480052931501e-53,13,EMP3,37
1.1393829282477663e-54,0.4745135878905389,0.972,0.919,2.156282191708898e-50,13,CYBA,38
2.6188414090467603e-52,0.49094878804875686,0.986,0.901,4.956157366620994e-48,13,SERF2,39
1.5335956394098384e-48,2.6251563134873432,0.253,0.055,2.9023297475831187e-44,13,LAIR2,40
2.1346752462217595e-47,0.5989049215824371,0.933,0.799,4.0398729034746796e-43,13,PTPRCAP,41
2.0988029832939573e-45,1.5847204342129595,0.551,0.238,3.9719846458838137e-41,13,LINC00861,42
3.3044049360624704e-45,1.115751348885068,0.751,0.396,6.253586341498224e-41,13,KLF2,43
1.3399077341482274e-43,0.615990009761719,0.954,0.785,2.535775386875521e-39,13,S100A4,44
3.814916116241544e-43,1.5046945257745947,0.558,0.262,7.219728749987122e-39,13,C12orf75,45
2.451906242305621e-42,0.6590294900989386,0.891,0.741,4.640232563563388e-38,13,CLIC1,46
4.773983580146995e-42,2.0540776509921748,0.344,0.105,9.034763925428188e-38,13,PTGDR,47
5.286912475659572e-41,1.823129484191952,0.428,0.162,1.000548186018574e-36,13,AC116366.3,48
3.009169067200617e-40,1.002613604466173,0.74,0.505,5.694852459677168e-36,13,AES,49
3.327662196422151e-40,2.178291909534162,0.312,0.093,6.297600706728922e-36,13,C1orf162,50
4.523441770063224e-213,3.3546027141168056,0.64,0.095,8.560613549844651e-209,14,TRDC,1
4.811552681767548e-196,2.667004468612682,0.813,0.171,9.105863450245084e-192,14,FCER1G,2
8.812197360472217e-149,2.060370399432011,0.895,0.29,1.6677083504693675e-144,14,TYROBP,3
6.166526279240169e-140,2.446701374310221,0.742,0.2,1.1670150983462023e-135,14,CD160,4
3.911587939289217e-127,2.6944209786311974,0.573,0.115,7.402680175104843e-123,14,CCL3,5
2.0326447622240847e-105,1.9364312386529936,0.809,0.307,3.846780212509081e-101,14,CMC1,6
9.194051659776318e-94,2.6253865952013777,0.476,0.104,1.7399742766126684e-89,14,PTGDR,7
1.6341940582084262e-87,0.9138685119590167,0.97,0.784,3.0927122551594467e-83,14,IFITM2,8
5.37220353633194e-81,2.0423188059200994,0.596,0.174,1.0166895192508196e-76,14,KLRF1,9
7.247681395793871e-78,1.2813004687922902,0.861,0.575,1.37162370415399e-73,14,GSTP1,10
1.1417569361431564e-77,0.6754775433521774,0.989,0.882,2.1607750016509232e-73,14,IFITM1,11
5.894862784316624e-77,2.7660748850290453,0.352,0.068,1.1156027819319212e-72,14,TXK,12
5.3616824090862856e-76,1.880397600196289,0.655,0.225,1.0146983959195797e-71,14,XCL1,13
1.508055841509612e-72,1.1977012886235552,0.929,0.508,2.853995680056941e-68,14,KLRB1,14
2.7886620157559252e-70,2.4552471615431575,0.39,0.087,5.277542864818088e-66,14,KLRC1,15
1.9572234923689203e-69,1.974557927954559,0.577,0.185,3.704045459308182e-65,14,IFITM3,16
9.56606947263027e-69,1.86217674352275,0.629,0.229,1.8103786476952793e-64,14,XCL2,17
1.6624508360344802e-68,1.9517315154183752,0.596,0.204,3.146188207195254e-64,14,CLIC3,18
3.0616337191840093e-66,0.7566731356916048,0.993,0.761,5.794141813555737e-62,14,NKG7,19
1.4864866073259975e-62,2.609127547021371,0.345,0.077,2.8131759043644502e-58,14,TMIGD2,20
9.289547282016106e-60,0.856828879797062,0.903,0.698,1.7580468231215483e-55,14,CD7,21
8.67717263092697e-56,1.733201458795245,0.61,0.257,1.6421549204029292e-51,14,RHOC,22
1.5540056024152182e-55,1.3568600135021514,0.738,0.356,2.9409556025708006e-51,14,KLRD1,23
3.892488665529867e-55,1.4334932624715284,0.7,0.366,7.366534799515273e-51,14,IL2RB,24
1.6547795182335176e-50,2.212699442634009,0.378,0.107,3.131670238256932e-46,14,LAT2,25
8.294386685191863e-48,0.3814708324035028,1,0.967,1.5697126801725603e-43,14,PFN1,26
1.3646129336938618e-46,2.14618415804842,0.341,0.091,2.5825299770156335e-42,14,SH2D1B,27
1.2183555161766761e-45,0.5584492845494622,0.955,0.858,2.305737814364359e-41,14,MYL12A,28
3.4203694471395025e-45,1.87635787682431,0.438,0.149,6.473049178711507e-41,14,EOMES,29
1.2325078236451054e-42,1.3229047681710164,0.655,0.365,2.3325210562483613e-38,14,CD63,30
