p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Marker_Rank
0,7.827224815278403,0.263,0.002,0,15,IGLV6-57,10
0,11.593656307131923,0.82,0,0,16,SCT,1
0,11.563920179698282,0.656,0,0,16,PTCRA,2
0,11.549990757151793,0.738,0,0,16,LRRC26,3
0,11.427672304178119,0.311,0,0,16,ASIP,4
0,11.357390025685923,0.328,0,0,16,AC097375.1,5
0,10.316965587668728,0.262,0,0,16,KCNK17,6
0,10.294802186239277,0.869,0.001,0,16,CLEC4C,7
0,10.199875349516407,0.475,0,0,16,SHD,8
0,10.185652799003595,0.393,0,0,16,DRD4,9
0,10.102187119852676,0.41,0,0,16,KRT5,10
0,3.265762985824709,0.259,0.023,0,2,LEF1,1
0,3.1075655451619357,0.466,0.061,0,2,CCR7,2
0,2.532409144120595,0.301,0.049,0,2,CD4,3
0,1.8772973140845628,0.591,0.171,0,2,GPR183,4
0,1.5917416256174128,0.848,0.275,0,2,IL7R,5
0,1.2485468613474113,0.833,0.359,0,2,LTB,6
3.2607959984702794e-293,2.0566117868431273,0.333,0.078,6.1710564271050035e-289,2,S1PR1,7
1.23471935075175e-241,1.4087908100188304,0.553,0.238,2.3367063712976867e-237,2,LMNA,8
6.824717827967607e-235,1.4554197704468868,0.427,0.14,1.2915778489428696e-230,2,ICOS,9
2.345676714751085e-230,0.89835320301014,0.815,0.478,4.4391931826664284e-226,2,LDHB,10
0,1.8301479330590547,0.629,0.237,0,3,GIMAP4,1
0,1.6496972834638073,0.626,0.25,0,3,CD8B,2
0,1.5225218958909736,0.733,0.332,0,3,GIMAP7,3
0,0.7878750899422471,0.983,0.768,0,3,CCL5,4
0,0.7117254225691703,0.946,0.786,0,3,PTPRCAP,5
7.212578432384106e-293,0.7397773327020079,0.909,0.702,1.3649804683286921e-288,3,GZMA,6
5.060725687670162e-291,0.8902279976888936,0.881,0.592,9.577423363915781e-287,3,CD3D,7
7.55740695842561e-279,1.6262280720295497,0.536,0.192,1.4302392668820467e-274,3,HSPA1B,8
1.936105986268791e-275,1.7236180099189056,0.54,0.212,3.664080579013687e-271,3,LINC00861,9
6.278120201720194e-271,1.4433591682000606,0.624,0.265,1.1881342481755466e-266,3,TXNIP,10
0,5.297677353321653,0.28,0.006,0,4,ADGRG3,1
0,3.962484563333584,0.488,0.032,0,4,B3GNT7,2
0,3.7606163839668616,0.473,0.036,0,4,GRAMD2B,3
0,3.1619825642621073,0.366,0.042,0,4,KRT86,4
0,3.131826655725456,0.331,0.036,0,4,LZTFL1,5
0,3.1268607668405375,0.547,0.055,0,4,SH2D1B,6
0,2.9677758016474343,0.275,0.034,0,4,GSN,7
0,2.922866781106257,0.547,0.073,0,4,LAT2,8
0,2.909896042730995,0.473,0.058,0,4,KLRC1,9
0,2.8577465225153706,0.915,0.117,0,4,FCER1G,10
0,3.9846270783476783,0.517,0.031,0,5,IL4I1,1
0,3.431230545042598,0.294,0.021,0,5,IL23R,2
0,3.2188115715862935,0.483,0.038,0,5,SLC4A10,3
0,3.15799885725308,0.321,0.03,0,5,CCL20,4
0,3.131428412484775,0.637,0.059,0,5,TRAV1-2,5
0,2.9577098796579424,0.708,0.081,0,5,CCR6,6
0,2.574143497579332,0.337,0.047,0,5,DPP4,7
0,2.394536773812682,0.461,0.078,0,5,FEZ1,8
0,2.0899044544388743,0.604,0.131,0,5,AQP3,9
0,1.9440630890723627,0.499,0.112,0,5,PBX4,10
0,0.7831753688407184,0.925,0.785,0,6,DUSP2,1
0,0.5471168218222249,0.973,0.937,0,6,BTG1,2
0,0.44161809243640615,0.998,0.992,0,6,HLA-A,3
0,0.36277766694503466,0.991,0.991,0,6,HLA-C,4
0,0.35312961967921197,1,0.999,0,6,B2M,5
0,0.34438867450702926,1,0.998,0,6,MALAT1,6
2e-323,0.33876120340392113,0.997,0.996,3.7401e-319,6,ACTB,7
6.963786272e-314,0.3637151486093524,0.992,0.991,1.3178965519729e-309,6,TMSB4X,8
3.2195634617401706e-302,0.5771183018796853,0.892,0.892,6.0930238513432725e-298,6,SARAF,9
1.1834628630692387e-298,0.7869085922047736,0.885,0.733,2.239703468358534e-294,6,CREM,10
3.476773866229288e-264,1.3592259847341932,0.825,0.409,6.579794541838927e-260,7,CEMIP2,1
5.421057759772873e-214,0.5639603630171708,0.99,0.883,1.0259351810370162e-209,7,PTPRC,2
2.214851717534423e-174,1.2292750081216022,0.722,0.374,4.1916068754338954e-170,7,PTPN22,3
3.9402174975729435e-166,1.2940472363136877,0.668,0.334,7.456861614156795e-162,7,RNF19A,4
1.9291382190238798e-154,1.0641374131209025,0.755,0.434,3.650894079502693e-150,7,SLC38A1,5
