"Cluster","Program","Program_Genes_Present","Top50_Genes","Overlap_Genes","Overlap_Count","Program_Genes_Count","Overlap_Fraction"
"1","B_Cell","CD19, MS4A1, CD79A, CD74, HLA-DRA, CD22","PRSS23, FGFBP2, GNLY, LAIR2, GZMB, CX3CR1, ADGRG1, SPON2, FCGR3A, C1orf21, PRF1, S1PR5, GZMH, KLRF1, KLRD1, NKG7, EFHD2, CD247, CST7, C12orf75, CTSW, TTC38, PLAC8, HOPX, LITAF, TYROBP, LGALS1, ENC1, DSTN, SELPLG, PXN, CYBA, HLA-C, B2M, SH2D1B, HSH2D, TGFBR3, ZEB2, SH2D2A, TFDP2, ITGB2, CLIC3, RAP1B, CD300A, SLA2, ARL4C, ADRB2, KLF3, IFITM2, TPST2","",0,6,0
"1","Plasma_Cell","MZB1, JCHAIN, SDC1, TNFRSF17, DERL3, IGHG1, IGHG3, IGHG4","PRSS23, FGFBP2, GNLY, LAIR2, GZMB, CX3CR1, ADGRG1, SPON2, FCGR3A, C1orf21, PRF1, S1PR5, GZMH, KLRF1, KLRD1, NKG7, EFHD2, CD247, CST7, C12orf75, CTSW, TTC38, PLAC8, HOPX, LITAF, TYROBP, LGALS1, ENC1, DSTN, SELPLG, PXN, CYBA, HLA-C, B2M, SH2D1B, HSH2D, TGFBR3, ZEB2, SH2D2A, TFDP2, ITGB2, CLIC3, RAP1B, CD300A, SLA2, ARL4C, ADRB2, KLF3, IFITM2, TPST2","",0,8,0
"1","Monocyte_Myeloid","LYZ, S100A8, S100A9, CTSS, FCN1, CTSD, LGALS3, FCGR3A, CD14, TREM1","PRSS23, FGFBP2, GNLY, LAIR2, GZMB, CX3CR1, ADGRG1, SPON2, FCGR3A, C1orf21, PRF1, S1PR5, GZMH, KLRF1, KLRD1, NKG7, EFHD2, CD247, CST7, C12orf75, CTSW, TTC38, PLAC8, HOPX, LITAF, TYROBP, LGALS1, ENC1, DSTN, SELPLG, PXN, CYBA, HLA-C, B2M, SH2D1B, HSH2D, TGFBR3, ZEB2, SH2D2A, TFDP2, ITGB2, CLIC3, RAP1B, CD300A, SLA2, ARL4C, ADRB2, KLF3, IFITM2, TPST2","FCGR3A",1,10,0.1
"1","Macrophage","LYZ, C1QA, C1QB, C1QC, APOE, TREM2, CD68, MSR1","PRSS23, FGFBP2, GNLY, LAIR2, GZMB, CX3CR1, ADGRG1, SPON2, FCGR3A, C1orf21, PRF1, S1PR5, GZMH, KLRF1, KLRD1, NKG7, EFHD2, CD247, CST7, C12orf75, CTSW, TTC38, PLAC8, HOPX, LITAF, TYROBP, LGALS1, ENC1, DSTN, SELPLG, PXN, CYBA, HLA-C, B2M, SH2D1B, HSH2D, TGFBR3, ZEB2, SH2D2A, TFDP2, ITGB2, CLIC3, RAP1B, CD300A, SLA2, ARL4C, ADRB2, KLF3, IFITM2, TPST2","",0,8,0
"1","Dendritic_Cell","FCER1A, CST3, CLEC10A, CD1C, HLA-DRA, FCER1G","PRSS23, FGFBP2, GNLY, LAIR2, GZMB, CX3CR1, ADGRG1, SPON2, FCGR3A, C1orf21, PRF1, S1PR5, GZMH, KLRF1, KLRD1, NKG7, EFHD2, CD247, CST7, C12orf75, CTSW, TTC38, PLAC8, HOPX, LITAF, TYROBP, LGALS1, ENC1, DSTN, SELPLG, PXN, CYBA, HLA-C, B2M, SH2D1B, HSH2D, TGFBR3, ZEB2, SH2D2A, TFDP2, ITGB2, CLIC3, RAP1B, CD300A, SLA2, ARL4C, ADRB2, KLF3, IFITM2, TPST2","",0,6,0
"1","pDC","CLEC4C, IRF7, TCF4, LILRA4, PTCRA","PRSS23, FGFBP2, GNLY, LAIR2, GZMB, CX3CR1, ADGRG1, SPON2, FCGR3A, C1orf21, PRF1, S1PR5, GZMH, KLRF1, KLRD1, NKG7, EFHD2, CD247, CST7, C12orf75, CTSW, TTC38, PLAC8, HOPX, LITAF, TYROBP, LGALS1, ENC1, DSTN, SELPLG, PXN, CYBA, HLA-C, B2M, SH2D1B, HSH2D, TGFBR3, ZEB2, SH2D2A, TFDP2, ITGB2, CLIC3, RAP1B, CD300A, SLA2, ARL4C, ADRB2, KLF3, IFITM2, TPST2","",0,5,0
"10","T_Cell","CD3D, CD3E, CD3G, TRBC1, TRBC2","IGLV5-45, IGKV1-9, IGLV1-40, IGHG1, B2M, DUSP5, IL32, GAPDH, LDHA, LAG3, STAT1, GPR171, BIRC3, HSP90AA1, PSME1, FTL, MT-ATP6, SATB1, GPR35, ISG20, S100A4, UBC, GBP5, SH2D2A, PSMB9, TXN, S100A10, ACTB, CXCR6, BCL3, SUB1, YIPF5, NINJ1, PSME2, NAMPT, DUSP4, POMP, CD2, CXCR4, IL7R, GBP1, LTB, CD3D, GZMA, ALOX5AP, HINT1, S100A6, TNFAIP3, DUSP2, BHLHE40","CD3D",1,5,0.2
"10","CD8_T","CD8A, CD8B, CD3D, CD3E, TRBC1, TRBC2","IGLV5-45, IGKV1-9, IGLV1-40, IGHG1, B2M, DUSP5, IL32, GAPDH, LDHA, LAG3, STAT1, GPR171, BIRC3, HSP90AA1, PSME1, FTL, MT-ATP6, SATB1, GPR35, ISG20, S100A4, UBC, GBP5, SH2D2A, PSMB9, TXN, S100A10, ACTB, CXCR6, BCL3, SUB1, YIPF5, NINJ1, PSME2, NAMPT, DUSP4, POMP, CD2, CXCR4, IL7R, GBP1, LTB, CD3D, GZMA, ALOX5AP, HINT1, S100A6, TNFAIP3, DUSP2, BHLHE40","CD3D",1,6,0.166666666666667
"10","CD4_T","CD4, IL7R, LTB, CCR7, SELL","IGLV5-45, IGKV1-9, IGLV1-40, IGHG1, B2M, DUSP5, IL32, GAPDH, LDHA, LAG3, STAT1, GPR171, BIRC3, HSP90AA1, PSME1, FTL, MT-ATP6, SATB1, GPR35, ISG20, S100A4, UBC, GBP5, SH2D2A, PSMB9, TXN, S100A10, ACTB, CXCR6, BCL3, SUB1, YIPF5, NINJ1, PSME2, NAMPT, DUSP4, POMP, CD2, CXCR4, IL7R, GBP1, LTB, CD3D, GZMA, ALOX5AP, HINT1, S100A6, TNFAIP3, DUSP2, BHLHE40","IL7R, LTB",2,5,0.4
"10","Treg","FOXP3, IL7R, CTLA4, IL2RA, TNFRSF18, TNFRSF4, CCR8","IGLV5-45, IGKV1-9, IGLV1-40, IGHG1, B2M, DUSP5, IL32, GAPDH, LDHA, LAG3, STAT1, GPR171, BIRC3, HSP90AA1, PSME1, FTL, MT-ATP6, SATB1, GPR35, ISG20, S100A4, UBC, GBP5, SH2D2A, PSMB9, TXN, S100A10, ACTB, CXCR6, BCL3, SUB1, YIPF5, NINJ1, PSME2, NAMPT, DUSP4, POMP, CD2, CXCR4, IL7R, GBP1, LTB, CD3D, GZMA, ALOX5AP, HINT1, S100A6, TNFAIP3, DUSP2, BHLHE40","IL7R",1,7,0.142857142857143
