"Phase","CD8_State","n_donors","mean_percentage","median_percentage","sd_percentage"
"IA","Treg_like",4,3.94839970072182,1.7549168643831,5.15932875405051
"IT","CD8_Activated",5,3.6427917065841,3.69393139841689,1.81881001922972
"IT","CD8_Cytotoxic_Effector",4,2.160931321274,1.91526213166278,2.06703494318416
"IT","CD8_Immediate_Early_Stress",6,10.1253465573312,9.04356159246682,3.73869612050703
"IT","CD8_Memory_GPR183",6,39.5208494539986,32.6352301701309,11.8112894054303
"IT","CD8_Memory_P2RY8",4,9.09022809881633,6.21998672985733,8.62691576281337
"IT","CD8_Naive_Memory",5,1.8322436878084,1.5045674368619,1.04185830998183
"IT","CD8_PD1_Dysfunctional",6,14.3758234352276,3.00466880943233,23.494522759219
"IT","Cytotoxic_GammaDelta_like",5,0.866687935512245,0.79155672823219,0.679378336891513
"IT","GammaDelta_IL7R",5,4.13156477937885,4.58167330677291,2.9490632649694
"IT","GammaDelta_NK_like_TRM",4,0.627332023116408,0.627357967119192,0.446303033336475
"IT","GammaDelta_T_like",2,0.103535348129246,0.103535348129246,0.00556316897024597
"IT","Ig_Associated_Ambiguous",2,0.32960581103849,0.32960581103849,0.238156614488149
"IT","NK_like",5,19.2401779805824,14.7101102060374,12.6254064463064
"IT","NK_like_Nonconventional",3,3.56178908756598,1.05414470531864,5.0389344294885
"IT","Treg_like",5,1.64698750349315,1.71503957783641,0.488769540046315
"NL","CD8_Activated",2,0.235673891127859,0.235673891127859,0.203070969817818
"NL","CD8_Cytotoxic_Effector",2,0.123025581594987,0.123025581594987,0.0938590317117091
"NL","CD8_Immediate_Early_Stress",6,17.1346688300026,7.92492312403506,20.0379978724377
"NL","CD8_Memory_GPR183",6,13.2858821694029,7.56106482249414,13.947846736312
"NL","CD8_Memory_P2RY8",4,1.33189217336426,1.13756081676436,1.2148297038976
"NL","CD8_Naive_Memory",5,1.88125916462257,0.92378752886836,1.77240370461721
"NL","CD8_PD1_Dysfunctional",6,24.7767874549638,15.9797724399494,28.1058274563677
"NL","Cytotoxic_GammaDelta_like",5,0.616740408173297,0.126422250316056,1.03777114419935
"NL","GammaDelta_IL7R",5,1.57773511350282,0.577367205542725,2.40565579054796
"NL","GammaDelta_NK_like_TRM",5,0.92024243299797,0.252844500632111,1.07994024102032
"NL","GammaDelta_T_like",2,0.140737485350745,0.140737485350745,0.0688106172048687
"NL","Ig_Associated_Ambiguous",3,30.3255816602318,0.346420323325635,52.145849958337
"NL","NK_like",6,23.4508414795398,18.276558891455,22.9924561883511
"NL","NK_like_Nonconventional",5,0.34855968885114,0.276243093922652,0.277880753089844
"NL","Treg_like",4,1.02126219137665,0.687443162860078,0.937035841821395
