"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.74545318246672e-27,0.482018780122394,0.362,0.279,2.13843821217676e-22,"5","TMX4"
9.89689030188132e-27,0.447999735315258,0.471,0.384,2.41998761661602e-22,"5","STAT1"
1.0059920013943e-26,0.658277458483743,0.236,0.165,2.45985164180934e-22,"5","NEDD9"
1.03364008103702e-26,0.615415811869271,0.229,0.158,2.52745672615172e-22,"5","UBQLN1"
1.79998839601737e-26,0.655185875723499,0.232,0.162,4.40133162594168e-22,"5","SUPT6H"
1.82816744590201e-26,0.670736952714669,0.214,0.146,4.4702350387196e-22,"5","KANSL2"
4.59948832998089e-26,0.377806011907581,0.479,0.395,1.12466688644693e-21,"5","NFE2L2"
4.80303445634655e-26,0.544843790867195,0.32,0.243,1.17443798526586e-21,"5","STAU1"
4.86807928597163e-26,0.697230433220412,0.202,0.135,1.19034274700578e-21,"5","SETD5"
5.87080365800032e-26,0.713174098252555,0.234,0.166,1.43552891045424e-21,"5","KMT2A"
6.35453812474978e-26,0.458325995226382,0.402,0.323,1.55381166226382e-21,"5","SLC3A2"
7.77188964681842e-26,0.463625742393095,0.397,0.319,1.90038245644004e-21,"5","PRPF38B"
9.2241540373356e-26,0.711701987341785,0.269,0.2,2.2554901452093e-21,"5","EVI2A"
9.65585973068674e-26,0.613582414957179,0.269,0.196,2.36105082134752e-21,"5","PTPRA"
1.45705201028021e-25,0.545073349700727,0.361,0.285,3.56278357553717e-21,"5","M6PR"
2.36560146140812e-25,0.3551636229889,0.605,0.536,5.78436869343513e-21,"5","GNG2"
2.69645431978674e-25,0.663316857289189,0.233,0.166,6.59337010274254e-21,"5","AP2B1"
2.95024026377803e-25,0.495009140795221,0.361,0.281,7.21392749299004e-21,"5","ARHGAP15"
4.51949541426156e-25,0.574803607222376,0.282,0.208,1.10510701869524e-20,"5","ATM"
4.83779589821945e-25,0.627304306538934,0.254,0.185,1.18293785303262e-20,"5","OSBPL8"
5.39837171664025e-25,0.684701992937936,0.216,0.149,1.32000985215287e-20,"5","KIF21A"
5.53536913945518e-25,0.642074235228504,0.228,0.161,1.35350846197958e-20,"5","USP8"
8.91313138780298e-25,0.550824448312228,0.314,0.239,2.17943888694558e-20,"5","INPP4B"
9.58660637814671e-25,0.67164420714834,0.243,0.176,2.34411699158443e-20,"5","KDM2A"
