"Donor","Phase","CD8_Cluster","Cells","Total_CD8_Cells","Proportion_of_Donor_CD8","Percentage_of_Donor_CD8"
"Dhc570","NL","5",2,465,0.0043010752688172,0.43010752688172
"Dhc570","NL","6",18,465,0.0387096774193548,3.87096774193548
"Dhc570","NL","7",1,465,0.0021505376344086,0.21505376344086
"Dhc570","NL","8",42,465,0.0903225806451613,9.03225806451613
"Dhc570","NL","9",4,465,0.00860215053763441,0.860215053763441
"P190326","IT","0",137,258,0.531007751937985,53.1007751937985
"P190326","IT","1",7,258,0.0271317829457364,2.71317829457364
"P190326","IT","10",1,258,0.00387596899224806,0.387596899224806
"P190326","IT","11",17,258,0.0658914728682171,6.58914728682171
"P190326","IT","14",1,258,0.00387596899224806,0.387596899224806
"P190326","IT","15",3,258,0.0116279069767442,1.16279069767442
"P190326","IT","2",26,258,0.10077519379845,10.077519379845
"P190326","IT","3",24,258,0.0930232558139535,9.30232558139535
"P190326","IT","4",12,258,0.0465116279069767,4.65116279069767
"P190326","IT","6",20,258,0.0775193798449612,7.75193798449612
"P190326","IT","8",6,258,0.0232558139534884,2.32558139534884
"P190326","IT","9",4,258,0.0155038759689922,1.55038759689922
"P190402","IT","0",1230,2053,0.599123234291281,59.9123234291281
"P190402","IT","1",12,2053,0.00584510472479299,0.584510472479299
"P190402","IT","10",5,2053,0.00243546030199708,0.243546030199708
"P190402","IT","11",82,2053,0.0399415489527521,3.99415489527521
"P190402","IT","12",14,2053,0.00681928884559182,0.681928884559182
"P190402","IT","14",3,2053,0.00146127618119825,0.146127618119825
"P190402","IT","15",3,2053,0.00146127618119825,0.146127618119825
"P190402","IT","2",32,2053,0.0155869459327813,1.55869459327813
"P190402","IT","3",194,2053,0.0944958597174866,9.44958597174866
"P190402","IT","4",31,2053,0.0150998538723819,1.50998538723819
"P190402","IT","5",163,2053,0.0793960058451047,7.93960058451047
"P190402","IT","6",171,2053,0.0832927423283,8.32927423283
"P190402","IT","8",108,2053,0.0526059425231369,5.26059425231369
"P190402","IT","9",5,2053,0.00243546030199708,0.243546030199708
"P190604","IT","0",393,742,0.529649595687331,52.9649595687331
"P190604","IT","1",16,742,0.0215633423180593,2.15633423180593
"P190604","IT","10",5,742,0.00673854447439353,0.673854447439353
"P190604","IT","11",61,742,0.0822102425876011,8.22102425876011
"P190604","IT","12",1,742,0.00134770889487871,0.134770889487871
"P190604","IT","14",1,742,0.00134770889487871,0.134770889487871
"P190604","IT","15",7,742,0.00943396226415094,0.943396226415094
"P190604","IT","2",28,742,0.0377358490566038,3.77358490566038
"P190604","IT","3",69,742,0.0929919137466307,9.29919137466307
"P190604","IT","4",34,742,0.045822102425876,4.5822102425876
"P190604","IT","5",13,742,0.0175202156334232,1.75202156334232
"P190604","IT","6",68,742,0.091644204851752,9.1644204851752
"P190604","IT","7",1,742,0.00134770889487871,0.134770889487871
"P190604","IT","8",42,742,0.0566037735849057,5.66037735849057
"P190604","IT","9",3,742,0.00404312668463612,0.404312668463612
"P190716","AR","0",922,1549,0.595222724338283,59.5222724338283
"P190716","AR","1",12,1549,0.00774693350548741,0.774693350548741
"P190716","AR","10",6,1549,0.00387346675274371,0.387346675274371
"P190716","AR","11",62,1549,0.040025823111685,4.0025823111685
"P190716","AR","12",47,1549,0.0303421562298257,3.03421562298257
"P190716","AR","14",1,1549,0.000645577792123951,0.0645577792123951
"P190716","AR","15",3,1549,0.00193673337637185,0.193673337637185
"P190716","AR","2",74,1549,0.0477727566171724,4.77727566171724
"P190716","AR","3",129,1549,0.0832795351839897,8.32795351839897
"P190716","AR","4",4,1549,0.0025823111684958,0.25823111684958
"P190716","AR","5",201,1549,0.129761136216914,12.9761136216914
"P190716","AR","6",26,1549,0.0167850225952227,1.67850225952227
"P190716","AR","7",1,1549,0.000645577792123951,0.0645577792123951
"P190716","AR","8",56,1549,0.0361523563589413,3.61523563589413
"P190716","AR","9",5,1549,0.00322788896061975,0.322788896061975
"P190719","IA","1",20,27,0.740740740740741,74.0740740740741
"P190719","IA","10",1,27,0.037037037037037,3.7037037037037
"P190719","IA","15",6,27,0.222222222222222,22.2222222222222
"P190801","IA","0",966,2916,0.331275720164609,33.1275720164609
"P190801","IA","1",47,2916,0.0161179698216735,1.61179698216735
"P190801","IA","10",5,2916,0.00171467764060357,0.171467764060357
"P190801","IA","11",214,2916,0.0733882030178327,7.33882030178327
"P190801","IA","12",37,2916,0.0126886145404664,1.26886145404664
"P190801","IA","14",2,2916,0.000685871056241427,0.0685871056241426
"P190801","IA","15",12,2916,0.00411522633744856,0.411522633744856
"P190801","IA","2",157,2916,0.053840877914952,5.3840877914952
"P190801","IA","3",283,2916,0.0970507544581619,9.70507544581619
"P190801","IA","4",765,2916,0.262345679012346,26.2345679012346
"P190801","IA","5",94,2916,0.032235939643347,3.2235939643347
