"feature","mean","variance"
"LINC00519",-0.0109783183740542,0.0158643586921571
"ADGRG3",-0.0236300655809994,0.344203233847758
"TRGV10",-9.0265958958654e-16,1
"DPEP1",-0.00626665253538036,0.0045278963604788
"CRTAM",6.44912838831299e-17,0.999999999999998
"AC068831.7",-0.00627004296857098,0.00452789942886249
"CXXC5-AS1",-0.00618039585767328,0.00452781829747543
"S100B",-0.0237999723955151,0.323632702373847
"GPR61",-0.00623853579798413,0.00452787091452608
"IGLV3-19",-0.0231888378230223,0.152422020315997
"SAA1",-0.0196996747596388,0.0772369306712856
"TNFRSF9",-5.88795481580355e-16,1
"CD300LB",-0.00749508779116612,0.00679366587531231
"KCNJ15",-0.006180597259825,0.00452781847974525
"ZRANB2-AS1",-0.0124246394864673,0.0226714565671906
"AC018462.1",-0.00746827571299946,0.00679362947218548
"TENT5C",-3.58156321781553e-15,1
"AC008676.1",-0.00614846646945986,0.00452778940128692
"DLGAP1",-0.0232794799085994,0.152424777105778
"ATF3",-5.08711022565589e-16,0.999999999999999
"HBA1",-0.022939049834883,0.369318894683917
"CEBPD",4.0264379539442e-16,0.999999999999999
"AL603910.1",-0.00621173383679199,0.00452784665852667
"TNFRSF4",-1.4992742502614e-16,0.999999999999999
"TMEM225B",-0.0085975485983815,0.00906042191434127
"ATP1B3",-1.3680143308953e-15,0.999999999999998
"TRAV36DV7",-0.00894973182393254,0.80046193448182
"FTH1",4.60041927591848e-16,1
"KLRD1",2.32527074234386e-16,1
"ALDH3A1",-0.00752302204562815,0.00679370380213706
"MITF",-0.00934098421291414,0.0113274661015913
"TRGV2",-8.18277719782115e-16,0.999999999999998
"IL1RL1",-0.0128990351919686,0.0249415295423781
"FCRL2",-0.0125176052832338,0.0226718775800589
"C2CD4A",-0.00930039202405556,0.0113273742262698
"C5orf58",-0.00622025325960596,0.00452785436866865
"CCL18",-0.0104446020246823,0.761267961483593
"CCR6",-5.00220373035202e-17,1
"IGHV3-66",-0.0126689406095176,0.0226725629385384
"IGLV9-49",-0.012091036497556,0.0204024898382235
"COBL",-0.00604606723100975,0.00452769673030252
"MARC2",-0.00739968642531552,0.00679353634801128
"AL589765.5",-0.00749113184076983,0.00679366050425798
"IGHA1",-0.0171193445844118,0.581979964713709
"TNFRSF13B",-0.0201818958269655,0.0817918528589425
"P2RY13",-0.00709113416714518,0.00679311743226255
"CD276",-0.00625482201679786,0.00452788565372228
"BTG1",-7.55153999968163e-15,1
"HOMER3",-0.00743257690408939,0.00679358100357362
"IER2",-4.89967403849009e-15,0.999999999999999
"GZMA",-1.58610936005174e-16,1
"CDH26",-0.00612443642662189,0.00452776765408958
"IL10",-0.00419159704263344,0.908384543933406
"LINC00562",-0.0102060133584681,0.0135956163161983
"TGFB1",-7.0990621943943e-15,1
"HOXA5",-0.0109291056130231,0.0158642027179957
"AC087203.3",-0.00938368797892165,0.0113275627566048
"AC245128.3",-0.00627180381571589,0.0045279010224512
"MMP21",-0.00624427034052903,0.00452787610434356
"CR2",-0.0119807727006545,0.0204020404528554
"CXCR6",-1.25837324939483e-16,1
"DNASE1L3",-0.0217917133424254,0.111396342713113
"ZC3H12B",-0.0109572949317764,0.0158642920606915
"ADGRE5",-6.27290567898365e-15,0.999999999999997
"AC008280.3",-0.0126356658148799,0.022672412244727
"AC010319.3",-0.00947561069412437,0.0113277708143912
"REL",-1.75568966968044e-15,1
"CSF2RB",-0.0141452671038689,0.0294850245828833
"GNG8",-0.0137046743030106,0.0272139354140208
"LINC00563",-0.00855388446582507,0.00906034285938904
"IRF1",-1.11736340672551e-14,1
"AL158850.1",-0.00744756739607997,0.00679360135628589
"FGL1",-0.0085536207412604,0.00906034238191048
"CPED1",-0.0094027794370207,0.0113276059680357
"FCGR3A",9.66540902195203e-16,1
"MYOM2",-0.0233351090064559,0.353966179061867
