"feature","mean","variance"
"CITED2",-3.91976326566842e-15,1
"AC007014.1",-0.00753185849910292,0.00679371579956617
"FGG",-0.0129580115751259,0.0249418233564932
"NNMT",-0.00945566745599183,0.0113277256747226
"COL4A4",-0.013075315498813,0.0249424077574022
"FTL",1.97409025318447e-14,1
"IGKV3-11",-0.0222977002941504,0.410469477485895
"IGHV1-18",-0.0223885012383894,0.410273716072034
"H1FX",1.1062293443878e-15,1
"CD74",6.98883822399879e-15,0.999999999999999
"ADAM12",-0.0240156941308202,0.273248984827597
"AC015813.2",-0.00626793522414494,0.00452789752132777
"AC090844.2",-0.00752937251344768,0.00679371242429279
"CHST13",-0.00618395388659793,0.0045278215175076
"RGS2",1.95015095939606e-17,0.999999999999998
"CD40LG",-6.71388855363967e-17,1
"AL358075.2",-0.00852114405717243,0.00906028358232544
