"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","CD8_State"
1.35957789165873e-68,0.359236819322404,0.296,0.204,2.57300115996415e-64,"0","RHEB","CD8_Memory_GPR183"
3.68724394416354e-125,0.358899544593371,0.57,0.395,6.97810916432951e-121,"0","ARF4","CD8_Memory_GPR183"
7.63776877963036e-178,0.357011738295408,0.845,0.609,1.44544774154505e-173,"0","EZR","CD8_Memory_GPR183"
1.62283562023639e-143,0.356307039695384,0.679,0.479,3.07121641129737e-139,"0","MORF4L1","CD8_Memory_GPR183"
2.49062888722585e-145,0.355501594550088,0.646,0.448,4.71351516907492e-141,"0","SNU13","CD8_Memory_GPR183"
2.40940445837324e-70,0.355242765197726,0.308,0.212,4.55979793747136e-66,"0","FBL","CD8_Memory_GPR183"
4.0616588446212e-64,0.353233956579669,0.266,0.181,7.68668936344562e-60,"0","COX20","CD8_Memory_GPR183"
4.59953330438494e-127,0.353225945246078,0.625,0.442,8.70461677854849e-123,"0","CLEC2B","CD8_Memory_GPR183"
1.72245173039126e-70,0.350902828859884,0.287,0.194,3.25973989976545e-66,"0","CCDC59","CD8_Memory_GPR183"
1.19652573468211e-130,0.350038012113792,0.636,0.45,2.26442495288589e-126,"0","TUBB4B","CD8_Memory_GPR183"
7.77122786158893e-106,0.348578961242616,0.465,0.321,1.47070487280571e-101,"0","MAPK1IP1L","CD8_Memory_GPR183"
2.9304526518294e-87,0.347368541813551,0.346,0.231,5.54588164358713e-83,"0","DYNLT1","CD8_Memory_GPR183"
6.81774987878512e-84,0.34603234690016,0.382,0.265,1.29025916456008e-79,"0","CEBPZ","CD8_Memory_GPR183"
8.02570727553018e-70,0.345083750085432,0.298,0.203,1.51886510189409e-65,"0","GTF3C6","CD8_Memory_GPR183"
9.47483472951891e-122,0.344362450753747,0.615,0.438,1.79311247256145e-117,"0","HNRNPA0","CD8_Memory_GPR183"
2.4389894058768e-94,0.343775354125581,0.457,0.318,4.61578745062184e-90,"0","BCL3","CD8_Memory_GPR183"
3.53461946250872e-108,0.343577010771596,0.56,0.4,6.68926733279776e-104,"0","IDI1","CD8_Memory_GPR183"
