"Donor","Phase","CD8_State","n_cells","donor_total","proportion","percentage"
"P191028","IA","GammaDelta_IL7R",124,5857,0.0211712480792214,2.11712480792214
"P191028","IA","GammaDelta_NK_like_TRM",1,5857,0.000170735871606625,0.0170735871606625
"P191028","IA","Ig_Associated_Ambiguous",2,5857,0.000341471743213249,0.0341471743213249
"P191028","IA","NK_like",318,5857,0.0542940071709066,5.42940071709066
"P191028","IA","NK_like_Nonconventional",150,5857,0.0256103807409937,2.56103807409937
"P191028","IA","Treg_like",682,5857,0.116441864435718,11.6441864435718
"P191112","IA","CD8_Activated",66,2658,0.0248306997742664,2.48306997742664
"P191112","IA","CD8_Cytotoxic_Effector",45,2658,0.0169300225733634,1.69300225733634
"P191112","IA","CD8_Immediate_Early_Stress",363,2658,0.136568848758465,13.6568848758465
"P191112","IA","CD8_Memory_GPR183",852,2658,0.320541760722348,32.0541760722348
"P191112","IA","CD8_Memory_P2RY8",452,2658,0.170052671181339,17.0052671181339
"P191112","IA","CD8_Naive_Memory",81,2658,0.0304740406320542,3.04740406320542
"P191112","IA","CD8_PD1_Dysfunctional",57,2658,0.0214446952595937,2.14446952595937
"P191112","IA","Cytotoxic_GammaDelta_like",11,2658,0.00413844996237773,0.413844996237773
"P191112","IA","GammaDelta_IL7R",40,2658,0.0150489089541008,1.50489089541008
"P191112","IA","GammaDelta_NK_like_TRM",27,2658,0.0101580135440181,1.01580135440181
"P191112","IA","GammaDelta_T_like",2,2658,0.000752445447705041,0.0752445447705041
"P191112","IA","NK_like",627,2658,0.23589164785553,23.589164785553
"P191112","IA","NK_like_Nonconventional",18,2658,0.00677200902934537,0.677200902934537
"P191112","IA","Treg_like",17,2658,0.00639578630549285,0.639578630549285
"P191126","AC","CD8_Activated",6,1179,0.00508905852417303,0.508905852417303
"P191126","AC","CD8_Cytotoxic_Effector",47,1179,0.0398642917726887,3.98642917726887
"P191126","AC","CD8_Immediate_Early_Stress",91,1179,0.0771840542832909,7.71840542832909
"P191126","AC","CD8_Memory_GPR183",429,1179,0.363867684478371,36.3867684478371
"P191126","AC","CD8_Memory_P2RY8",168,1179,0.142493638676845,14.2493638676845
"P191126","AC","CD8_Naive_Memory",22,1179,0.0186598812553011,1.86598812553011
"P191126","AC","CD8_PD1_Dysfunctional",23,1179,0.0195080576759966,1.95080576759966
"P191126","AC","Cytotoxic_GammaDelta_like",6,1179,0.00508905852417303,0.508905852417303
"P191126","AC","GammaDelta_IL7R",23,1179,0.0195080576759966,1.95080576759966
"P191126","AC","GammaDelta_NK_like_TRM",15,1179,0.0127226463104326,1.27226463104326
"P191126","AC","GammaDelta_T_like",35,1179,0.0296861747243427,2.96861747243427
"P191126","AC","NK_like",279,1179,0.236641221374046,23.6641221374046
"P191126","AC","NK_like_Nonconventional",27,1179,0.0229007633587786,2.29007633587786
"P191126","AC","Treg_like",8,1179,0.00678541136556404,0.678541136556404
"P191127","AC","CD8_Activated",10,3092,0.00323415265200517,0.323415265200517
"P191127","AC","CD8_Cytotoxic_Effector",23,3092,0.0074385510996119,0.74385510996119
"P191127","AC","CD8_Immediate_Early_Stress",140,3092,0.0452781371280724,4.52781371280724
"P191127","AC","CD8_Memory_GPR183",774,3092,0.250323415265201,25.0323415265201
"P191127","AC","CD8_Memory_P2RY8",153,3092,0.0494825355756792,4.94825355756792
"P191127","AC","CD8_Naive_Memory",32,3092,0.0103492884864166,1.03492884864166
"P191127","AC","CD8_PD1_Dysfunctional",49,3092,0.0158473479948254,1.58473479948254
"P191127","AC","Cytotoxic_GammaDelta_like",8,3092,0.00258732212160414,0.258732212160414
"P191127","AC","GammaDelta_IL7R",12,3092,0.00388098318240621,0.388098318240621
"P191127","AC","GammaDelta_NK_like_TRM",2,3092,0.000646830530401035,0.0646830530401035
"P191127","AC","GammaDelta_T_like",1660,3092,0.536869340232859,53.6869340232859
"P191127","AC","NK_like",203,3092,0.065653298835705,6.5653298835705
"P191127","AC","NK_like_Nonconventional",15,3092,0.00485122897800776,0.485122897800776
"P191127","AC","Treg_like",11,3092,0.00355756791720569,0.355756791720569
"P191210","AC","CD8_Cytotoxic_Effector",1,1399,0.000714796283059328,0.0714796283059328
"P191210","AC","CD8_Immediate_Early_Stress",38,1399,0.0271622587562545,2.71622587562545
"P191210","AC","CD8_Naive_Memory",936,1399,0.669049320943531,66.9049320943531
"P191210","AC","Cytotoxic_GammaDelta_like",208,1399,0.14867762687634,14.867762687634
"P191210","AC","GammaDelta_NK_like_TRM",210,1399,0.150107219442459,15.0107219442459
"P191210","AC","NK_like_Nonconventional",6,1399,0.00428877769835597,0.428877769835597
"P191217","AR","CD8_Activated",97,2232,0.0434587813620072,4.34587813620072
"P191217","AR","CD8_Cytotoxic_Effector",33,2232,0.0147849462365591,1.47849462365591
"P191217","AR","CD8_Immediate_Early_Stress",118,2232,0.0528673835125448,5.28673835125448
"P191217","AR","CD8_Memory_GPR183",1092,2232,0.489247311827957,48.9247311827957
"P191217","AR","CD8_Memory_P2RY8",478,2232,0.21415770609319,21.415770609319
"P191217","AR","CD8_Naive_Memory",60,2232,0.0268817204301075,2.68817204301075
"P191217","AR","CD8_PD1_Dysfunctional",77,2232,0.0344982078853047,3.44982078853047
"P191217","AR","Cytotoxic_GammaDelta_like",20,2232,0.00896057347670251,0.896057347670251
"P191217","AR","GammaDelta_IL7R",27,2232,0.0120967741935484,1.20967741935484
"P191217","AR","GammaDelta_NK_like_TRM",1,2232,0.000448028673835125,0.0448028673835125
"P191217","AR","NK_like",97,2232,0.0434587813620072,4.34587813620072
"P191217","AR","NK_like_Nonconventional",9,2232,0.00403225806451613,0.403225806451613
"P191217","AR","Treg_like",123,2232,0.0551075268817204,5.51075268817204
