"Donor","Phase","CD8_Cluster","CD8_Biological_Annotation","Cells","Total_CD8_Cells","Fraction_of_Donor_CD8"
"P190801","IA","12","Activated/dysfunction-associated tissue-associated CD8 T-cell",37,2916,0.0126886145404664
"P190801","IA","14","NK-like cytotoxic population",2,2916,0.000685871056241427
"P190801","IA","15","Gamma-delta-like nonconventional T-cell population",12,2916,0.00411522633744856
"P190801","IA","2","Activated/dysfunction-associated CD8 T-cell",157,2916,0.053840877914952
"P190801","IA","3","Immediate-early-response CD8-associated population",283,2916,0.0970507544581619
"P190801","IA","4","Activated/dysfunction-associated CD8 T-cell",765,2916,0.262345679012346
"P190801","IA","5","Activation/tissue-associated CD8-associated population",94,2916,0.032235939643347
"P190801","IA","6","NK-like cytotoxic nonconventional T-cell population",173,2916,0.0593278463648834
"P190801","IA","8","NK-like/nonconventional cytotoxic T-cell population",144,2916,0.0493827160493827
"P190801","IA","9","NK-like cytotoxic population",17,2916,0.00582990397805213
"P190808","IT","0","GZMK-associated memory-like CD8 T-cell",656,1897,0.345809172377438
"P190808","IT","1","Memory-associated conventional T-cell",26,1897,0.0137058513442277
"P190808","IT","10","NK/gamma-delta-like nonconventional T-cell population",16,1897,0.00843437005798629
"P190808","IT","11","Gamma-delta-like T-cell population",54,1897,0.0284659989457037
"P190808","IT","12","Activated/dysfunction-associated tissue-associated CD8 T-cell",2,1897,0.00105429625724829
"P190808","IT","14","NK-like cytotoxic population",523,1897,0.275698471270427
"P190808","IT","15","Gamma-delta-like nonconventional T-cell population",2,1897,0.00105429625724829
"P190808","IT","2","Activated/dysfunction-associated CD8 T-cell",52,1897,0.0274117026884555
"P190808","IT","3","Immediate-early-response CD8-associated population",212,1897,0.111755403268318
"P190808","IT","4","Activated/dysfunction-associated CD8 T-cell",64,1897,0.0337374802319452
"P190808","IT","5","Activation/tissue-associated CD8-associated population",63,1897,0.033210332103321
"P190808","IT","6","NK-like cytotoxic nonconventional T-cell population",180,1897,0.0948866631523458
"P190808","IT","7","Gamma-delta-like cytotoxic T-cell population",2,1897,0.00105429625724829
"P190808","IT","8","NK-like/nonconventional cytotoxic T-cell population",42,1897,0.022140221402214
"P190808","IT","9","NK-like cytotoxic population",3,1897,0.00158144438587243
"P190902","IT","0","GZMK-associated memory-like CD8 T-cell",2,23,0.0869565217391304
"P190902","IT","2","Activated/dysfunction-associated CD8 T-cell",18,23,0.782608695652174
"P190902","IT","3","Immediate-early-response CD8-associated population",3,23,0.130434782608696
"P190910","IT","0","GZMK-associated memory-like CD8 T-cell",323,879,0.367463026166098
"P190910","IT","1","Memory-associated conventional T-cell",10,879,0.0113765642775882
"P190910","IT","11","Gamma-delta-like T-cell population",57,879,0.0648464163822526
"P190910","IT","12","Activated/dysfunction-associated tissue-associated CD8 T-cell",3,879,0.00341296928327645
"P190910","IT","15","Gamma-delta-like nonconventional T-cell population",4,879,0.00455062571103527
"P190910","IT","2","Activated/dysfunction-associated CD8 T-cell",12,879,0.0136518771331058
"P190910","IT","3","Immediate-early-response CD8-associated population",102,879,0.116040955631399
"P190910","IT","4","Activated/dysfunction-associated CD8 T-cell",64,879,0.0728100113765643
"P190910","IT","5","Activation/tissue-associated CD8-associated population",231,879,0.262798634812287
"P190910","IT","6","NK-like cytotoxic nonconventional T-cell population",33,879,0.037542662116041
"P190910","IT","8","NK-like/nonconventional cytotoxic T-cell population",29,879,0.0329920364050057
"P190910","IT","9","NK-like cytotoxic population",11,879,0.012514220705347
"P190911","IA","0","GZMK-associated memory-like CD8 T-cell",778,4770,0.163102725366876
"P190911","IA","1","Memory-associated conventional T-cell",83,4770,0.0174004192872117
"P190911","IA","10","NK/gamma-delta-like nonconventional T-cell population",6,4770,0.00125786163522013
"P190911","IA","11","Gamma-delta-like T-cell population",69,4770,0.0144654088050314
"P190911","IA","12","Activated/dysfunction-associated tissue-associated CD8 T-cell",2,4770,0.000419287211740042
"P190911","IA","13","Gamma-delta-like cytotoxic T-cell population",1,4770,0.000209643605870021
"P190911","IA","14","NK-like cytotoxic population",5,4770,0.0010482180293501
"P190911","IA","15","Gamma-delta-like nonconventional T-cell population",6,4770,0.00125786163522013
"P190911","IA","2","Activated/dysfunction-associated CD8 T-cell",145,4770,0.030398322851153
"P190911","IA","3","Immediate-early-response CD8-associated population",573,4770,0.120125786163522
"P190911","IA","4","Activated/dysfunction-associated CD8 T-cell",2111,4770,0.442557651991614
"P190911","IA","5","Activation/tissue-associated CD8-associated population",844,4770,0.176939203354298
"P190911","IA","6","NK-like cytotoxic nonconventional T-cell population",59,4770,0.0123689727463312
"P190911","IA","7","Gamma-delta-like cytotoxic T-cell population",1,4770,0.000209643605870021
