"Rank","Gene"
475,"RGS2"
476,"AC004264.1"
477,"AL136307.1"
478,"FP236241.1"
479,"CCL3L1"
480,"LAYN"
481,"PITX1"
482,"NEAT1"
483,"AC011337.1"
484,"SH2D2A"
485,"GBP5"
486,"C5AR2"
487,"AC002550.2"
488,"IGHA1"
489,"CCL16"
490,"HOXA5"
491,"AL136115.2"
492,"HES1"
493,"NR4A1"
494,"LINC02528"
495,"ABCB4"
496,"AC004490.1"
497,"AC009119.2"
498,"IGLV2-23"
499,"FCGR3A"
500,"HNMT"
501,"AC020911.1"
502,"LINC02544"
503,"ZNF205"
504,"VTN"
505,"CCR7"
506,"HES4"
507,"LEPROTL1"
508,"AC008429.3"
509,"AC034229.4"
510,"RDH5"
511,"TRAJ58"
512,"SPOCK3"
513,"IL17F"
514,"IGKV1-16"
515,"AC079949.1"
516,"IGKV3D-15"
517,"CASC15"
518,"AC024243.1"
519,"CDC20B"
520,"AC107871.2"
521,"ENC1"
522,"AL035461.2"
523,"AQP10"
524,"AC100821.2"
525,"TMEM249"
526,"AKR1E2"
527,"AL136360.2"
528,"CLC"
529,"FGL1"
530,"AC130352.1"
531,"AC016575.1"
532,"AP000593.3"
533,"DHRS2"
534,"AL024508.1"
535,"TLR4"
536,"SLC4A3"
537,"AC008403.2"
538,"AC011374.2"
539,"AL139384.2"
540,"NEU1"
541,"PRF1"
542,"CRYBA4"
543,"ISG20"
544,"S100A8"
545,"S100A6"
546,"LINC00381"
547,"TAS2R10"
548,"CD2"
549,"SERPINE1"
550,"AP000365.1"
551,"H1FX"
552,"ZDHHC15"
553,"TUBA1A"
554,"SCNN1A"
555,"GZMA"
556,"AP001056.2"
557,"AMPH"
558,"TNFRSF11A"
559,"TRAJ17"
560,"ICOS"
561,"SLC25A18"
562,"AC009948.3"
563,"HSD17B3"
564,"CYYR1"
565,"CITED2"
566,"AC008073.3"
567,"CD27"
568,"DYNLL1"
569,"C11orf94"
570,"TRGV11"
571,"PTGDR2"
572,"AGT"
573,"AC105020.2"
574,"AC145285.3"
575,"PDE4B"
576,"AL358472.3"
577,"FGB"
578,"LINC01825"
579,"C19orf33"
580,"FGFBP2"
581,"ZC3H12B"
582,"CEBPA-DT"
583,"ID3"
584,"SPOCK2"
585,"AL138921.1"
586,"ZG16"
587,"TAS2R4"
588,"PCDHGA4"
589,"LINC02470"
590,"OR56B1"
591,"YBX3"
592,"PDZD3"
593,"IGLV1-44"
594,"AC116447.1"
595,"AC104316.1"
596,"HAAO"
597,"AL138995.1"
598,"TRAJ32"
599,"MMP21"
600,"SPDYC"
601,"STRC"
602,"AC097359.3"
603,"AC097641.2"
604,"AC005546.1"
605,"IGKV2D-30"
606,"AC009962.1"
607,"AC073283.1"
608,"PPM1E"
609,"AC126755.4"
610,"AC022001.2"
611,"STAR"
612,"IGHV4-59"
613,"AL136373.1"
614,"TUBA1B"
615,"LINC01632"
616,"RASIP1"
617,"SLC4A9"
618,"RNF112"
619,"AL391335.1"
620,"DLGAP1"
621,"MSRB3"
622,"SFPQ"
623,"OR10K1"
624,"AC080013.1"
625,"MIXL1"
626,"OR2AE1"
627,"KRT86"
628,"IGKV1-12"
629,"A4GALT"
630,"LINC00449"
631,"MEIKIN"
632,"IGHV7-4-1"
633,"LCN10"
634,"AL136379.1"
635,"AC254562.3"
636,"SRSF2"
637,"OLIG1"
638,"MARC2"
639,"FCN2"
640,"ECSCR"
641,"GCK"
642,"GIMAP4"
643,"CCL20"
644,"SCIMP"
645,"MT-ND6"
646,"BEND6"
647,"AC073957.2"
648,"ELAVL3"
649,"NPIPA7"
650,"IGLV3-27"
651,"ARMC12"
652,"AC020931.1"
653,"LINC01962"
654,"FCRL2"
655,"PSCA"
656,"CCDC110"
657,"RARRES3"
658,"SSBP3-AS1"
659,"AC119403.1"
660,"AL022238.3"
661,"IGLV6-57"
662,"AC131934.1"
663,"SLA"
664,"AC008443.4"
665,"AC009414.2"
666,"IL2"
667,"PMCH"
668,"ADAMTS1"
669,"IGLV1-51"
670,"LINC00332"
671,"TRGV7"
672,"GPRC5A"
673,"HEMGN"
674,"AP000785.1"
675,"AC092809.4"
676,"RFPL1S"
677,"KIR3DL2"
678,"CPED1"
679,"AC020909.3"
680,"AC004528.2"
681,"AL590708.1"
682,"TACR1"
683,"AC010247.2"
684,"AC009549.1"
685,"TRAJ52"
